repository_name,date,clones,unique_visitors/cloners
data-service-landscape-scan,2022-10-21,1,1
data-service-landscape-scan,2022-10-22,1,1
data-viz-challenge,2022-10-16,1,1
data-viz-challenge,2022-10-21,2,2
data-viz-evaluations,2022-10-22,1,1
data-viz-evaluations,2022-10-25,1,1
figstats,2022-10-19,1,1
figstats,2022-10-21,1,1
github-stats,2022-10-12,6,4
github-stats,2022-10-13,7,5
github-stats,2022-10-14,7,5
github-stats,2022-10-15,6,4
github-stats,2022-10-16,6,4
github-stats,2022-10-17,6,4
github-stats,2022-10-18,6,4
github-stats,2022-10-19,8,5
github-stats,2022-10-20,7,5
github-stats,2022-10-21,8,6
github-stats,2022-10-22,6,4
github-stats,2022-10-23,6,4
github-stats,2022-10-24,6,4
github-stats,2022-10-25,7,5
LD-Cool-P,2022-10-21,2,2
LD-Cool-P,2022-10-22,1,1
LD-Cool-P,2022-10-25,2,1
ldcoolp-figshare,2022-10-19,1,1
ldcoolp-figshare,2022-10-21,1,1
ldcoolp-figshare,2022-10-24,1,1
ldcoolp-figshare,2022-10-26,2,1
ReBACH,2022-10-14,1,1
ReBACH,2022-10-18,1,1
ReBACH,2022-10-20,2,1
ReBACH,2022-10-21,1,1
ReBACH,2022-10-22,1,1
ReBACH,2022-10-25,1,1
redata-commons,2022-10-21,2,2
redata-commons,2022-10-22,1,1
redata-commons,2022-10-25,1,1
redata-docs,2022-10-21,2,2
redata-docs,2022-10-26,2,1
redata-iac,2022-10-21,1,1
redata-iac,2022-10-24,1,1
redata-landing-page,2022-10-21,2,2
redata-landing-page,2022-10-25,3,2
ReQUIAM,2022-10-21,2,2
ReQUIAM,2022-10-25,1,1
ReQUIAM,2022-10-26,1,1
ReQUIAM_csv,2022-10-21,1,1
ReQUIAM_csv,2022-10-22,1,1
ReQUIAM_csv,2022-10-25,1,1
ReQUIAM_csv,2022-10-26,1,1
slacking,2022-10-21,2,2
UAL-RE,2022-10-21,1,1
UAL-RE,2022-10-25,1,1
uptime,2022-10-12,47,3
uptime,2022-10-13,59,6
uptime,2022-10-14,61,7
uptime,2022-10-15,70,6
uptime,2022-10-16,71,7
uptime,2022-10-17,57,8
uptime,2022-10-18,55,5
uptime,2022-10-19,53,5
uptime,2022-10-20,55,4
uptime,2022-10-21,62,8
uptime,2022-10-22,79,9
uptime,2022-10-23,72,7
uptime,2022-10-24,55,6
uptime,2022-10-25,55,6
uptime,2022-10-26,11,5
