repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,3,2
figstats,github.com,5,1
LD-Cool-P,github.com,13,3
LD-Cool-P,Google,4,3
ldcoolp-figshare,github.com,6,5
ldcoolp-figshare,ldcoolp-figshare.readthedocs.io,1,1
redata-commons,redata-commons.readthedocs.io,8,3
redata-commons,pypi.org,6,1
redata-commons,Google,4,1
redata-commons,github.com,1,1
redata-docs,github.com,4,2
ReDATA_README_Tool,github.com,4,4
ReQUIAM,github.com,4,1
