repository_name,site,views,unique_visitors/cloners
LD-Cool-P,github.com,1,1
ldcoolp-figshare,Google,16,1
ldcoolp-figshare,Bing,3,1
ldcoolp-figshare,github.com,2,2
ldcoolp-figshare,ldcoolp-figshare.readthedocs.io,1,1
redata-iac,github.com,5,1
ReM,gist.github.com,8,4
ReM,Google,6,1
ReQUIAM,Google,2,2
ReQUIAM_csv,github.com,40,6
ReQUIAM_csv,requiam-csv.readthedocs.io,1,1
ReQUIAM_csv,Google,1,1
uptime,github.com,1,1
