repository_name,date,views,unique_visitors/cloners
data-service-landscape-scan,2022-04-04,1,1
data-viz-challenge,2022-04-04,1,1
data-viz-evaluations,2022-04-05,5,2
github-stats,2022-03-31,14,1
LD-Cool-P,2022-03-29,3,1
LD-Cool-P,2022-03-31,420,3
LD-Cool-P,2022-04-02,5,1
LD-Cool-P,2022-04-04,3,1
LD-Cool-P,2022-04-05,4,2
LD-Cool-P,2022-04-06,2,1
LD-Cool-P,2022-04-11,14,1
ReBACH,2022-03-29,20,1
ReBACH,2022-03-30,47,2
ReBACH,2022-03-31,5,2
ReBACH,2022-04-04,3,1
ReBACH,2022-04-11,8,2
redata-docs,2022-04-01,1,1
redata-docs,2022-04-03,2,1
redata-docs,2022-04-09,1,1
redata-iac,2022-04-03,1,1
redata-iac,2022-04-05,36,1
redata-iac,2022-04-09,1,1
redata-landing-page,2022-04-06,1,1
ReQUIAM,2022-03-29,1,1
ReQUIAM,2022-03-30,7,1
ReQUIAM,2022-04-01,3,1
ReQUIAM,2022-04-06,1,1
ReQUIAM,2022-04-08,1,1
ReQUIAM,2022-04-09,4,2
ReQUIAM,2022-04-11,13,4
ReQUIAM_csv,2022-03-30,6,1
ReQUIAM_csv,2022-04-08,1,1
uptime,2022-04-11,1,1
