repository_name,date,clones,unique_visitors/cloners
data-viz-evaluations,2022-05-27,2,1
github-stats,2022-05-14,5,3
github-stats,2022-05-15,8,5
github-stats,2022-05-16,5,3
github-stats,2022-05-17,6,4
github-stats,2022-05-18,6,4
github-stats,2022-05-19,6,4
github-stats,2022-05-20,7,5
github-stats,2022-05-21,6,4
github-stats,2022-05-22,5,3
github-stats,2022-05-23,7,5
github-stats,2022-05-24,8,5
github-stats,2022-05-25,6,4
github-stats,2022-05-26,6,4
github-stats,2022-05-27,6,4
LD-Cool-P,2022-05-16,1,1
ldcoolp-figshare,2022-05-16,2,1
ldcoolp-figshare,2022-05-20,1,1
redata-commons,2022-05-17,2,1
redata-docs,2022-05-18,2,1
redata-docs,2022-05-19,8,5
redata-docs,2022-05-20,2,2
redata-docs,2022-05-21,5,3
redata-docs,2022-05-23,7,5
redata-docs,2022-05-25,6,3
redata-docs,2022-05-26,9,4
redata-docs,2022-05-27,1,1
redata-docs,2022-05-28,4,2
redata-iac,2022-05-19,1,1
redata-landing-page,2022-05-21,2,1
