repository_name,date,views,unique_visitors/cloners
data-service-landscape-scan,2022-07-21,3,1
data-service-landscape-scan,2022-08-01,5,1
data-service-landscape-scan,2022-08-02,1,1
figstats,2022-07-26,1,1
github-stats,2022-07-29,5,1
LD-Cool-P,2022-07-20,8,1
LD-Cool-P,2022-07-21,2,2
LD-Cool-P,2022-07-22,1,1
LD-Cool-P,2022-07-28,1,1
LD-Cool-P,2022-07-29,4,2
ReBACH,2022-07-20,2,2
ReBACH,2022-07-21,9,1
ReBACH,2022-07-22,4,1
ReBACH,2022-07-24,11,1
ReBACH,2022-07-25,2,1
ReBACH,2022-07-28,1,1
ReBACH,2022-08-02,5,1
redata-commons,2022-07-28,2,1
redata-commons,2022-07-30,1,1
redata-docs,2022-07-20,2,1
redata-docs,2022-07-27,1,1
ReQUIAM,2022-07-20,9,1
ReQUIAM,2022-07-23,2,1
ReQUIAM,2022-07-25,3,1
ReQUIAM,2022-07-30,2,2
ReQUIAM,2022-08-02,1,1
ReQUIAM_csv,2022-07-28,1,1
ReQUIAM_csv,2022-07-29,5,1
ReQUIAM_csv,2022-08-01,1,1
