repository_name,date,clones,unique_visitors/cloners
data-service-landscape-scan,2022-05-12,1,1
data-viz-evaluations,2022-05-02,1,1
data-viz-evaluations,2022-05-12,1,1
figstats,2022-05-12,2,1
github-stats,2022-05-02,5,3
github-stats,2022-05-03,7,4
github-stats,2022-05-04,5,3
github-stats,2022-05-05,5,3
github-stats,2022-05-06,5,3
github-stats,2022-05-07,8,5
github-stats,2022-05-08,7,4
github-stats,2022-05-09,5,3
github-stats,2022-05-10,5,3
github-stats,2022-05-11,6,4
github-stats,2022-05-12,6,4
github-stats,2022-05-13,6,4
github-stats,2022-05-14,5,3
LD-Cool-P,2022-05-05,2,1
LD-Cool-P,2022-05-06,13,4
LD-Cool-P,2022-05-09,3,3
LD-Cool-P,2022-05-11,2,1
ldcoolp-figshare,2022-05-09,3,3
ReBACH,2022-05-02,1,1
ReBACH,2022-05-04,2,1
redata-commons,2022-05-11,1,1
redata-commons,2022-05-14,6,5
redata-docs,2022-05-03,1,1
redata-docs,2022-05-05,2,2
redata-docs,2022-05-06,4,1
redata-docs,2022-05-09,5,3
redata-docs,2022-05-10,24,12
redata-docs,2022-05-12,2,1
redata-iac,2022-05-01,1,1
redata-landing-page,2022-05-10,2,1
redata-landing-page,2022-05-12,1,1
ReQUIAM,2022-05-03,1,1
ReQUIAM,2022-05-12,1,1
ReQUIAM_csv,2022-05-03,2,1
uptime,2022-05-01,79,2
uptime,2022-05-02,90,4
uptime,2022-05-03,89,4
uptime,2022-05-04,91,6
uptime,2022-05-05,93,6
uptime,2022-05-06,96,4
uptime,2022-05-07,103,6
uptime,2022-05-08,101,6
uptime,2022-05-09,94,6
uptime,2022-05-10,96,5
uptime,2022-05-11,88,4
uptime,2022-05-12,90,7
uptime,2022-05-13,81,4
uptime,2022-05-14,87,4
uptime,2022-05-15,15,4
