repository_name,date,clones,unique_visitors/cloners
data-service-landscape-scan,2023-01-15,1,1
data-service-landscape-scan,2023-01-23,1,1
github-stats,2023-01-14,5,3
github-stats,2023-01-15,5,3
github-stats,2023-01-16,7,5
github-stats,2023-01-17,5,3
github-stats,2023-01-18,5,3
github-stats,2023-01-19,2,2
github-stats,2023-01-20,5,3
github-stats,2023-01-21,6,4
github-stats,2023-01-22,5,3
github-stats,2023-01-23,6,4
github-stats,2023-01-24,5,3
github-stats,2023-01-25,5,3
github-stats,2023-01-26,6,4
ldcoolp-figshare,2023-01-17,1,1
ReBACH,2023-01-24,21,2
redata-docs,2023-01-26,1,1
redata-iac,2023-01-14,1,1
