repository_name,date,views,unique_visitors/cloners
github-stats,2022-11-01,1,1
LD-Cool-P,2022-10-26,1,1
LD-Cool-P,2022-11-05,1,1
ReBACH,2022-10-30,2,2
ReBACH,2022-10-31,1,1
ReBACH,2022-11-01,14,3
ReBACH,2022-11-02,2,2
ReBACH,2022-11-05,1,1
ReBACH,2022-11-07,2,2
redata-commons,2022-11-01,3,1
redata-landing-page,2022-10-27,1,1
redata-landing-page,2022-11-09,1,1
ReQUIAM,2022-11-01,4,2
ReQUIAM,2022-11-02,1,1
ReQUIAM,2022-11-08,1,1
ReQUIAM_csv,2022-10-31,1,1
