repository_name,date,clones,unique_visitors/cloners
uptime,2021-12-27,80,2
uptime,2021-12-28,104,5
uptime,2021-12-29,108,4
uptime,2021-12-30,110,5
uptime,2021-12-31,105,6
uptime,2022-01-01,106,4
uptime,2022-01-02,107,4
uptime,2022-01-03,103,4
uptime,2022-01-04,101,3
uptime,2022-01-05,102,3
uptime,2022-01-06,99,4
uptime,2022-01-07,107,7
uptime,2022-01-08,104,4
uptime,2022-01-09,112,4
uptime,2022-01-10,15,3
