repository_name,date,views,unique_visitors/cloners
data-service-landscape-scan,2021-07-12,16,1
data-service-landscape-scan,2021-07-14,1,1
data-service-landscape-scan,2021-07-16,16,1
github-stats,2021-07-10,2,1
github-stats,2021-07-12,1,1
github-stats,2021-07-14,4,1
github-stats,2021-07-21,1,1
LD-Cool-P,2021-07-08,16,1
LD-Cool-P,2021-07-09,7,1
LD-Cool-P,2021-07-10,6,1
LD-Cool-P,2021-07-12,44,1
LD-Cool-P,2021-07-13,35,2
LD-Cool-P,2021-07-14,38,1
LD-Cool-P,2021-07-15,7,2
LD-Cool-P,2021-07-16,5,1
LD-Cool-P,2021-07-19,29,2
LD-Cool-P,2021-07-20,6,2
LD-Cool-P,2021-07-21,5,1
ldcoolp-figshare,2021-07-10,1,1
ldcoolp-figshare,2021-07-12,6,2
ldcoolp-figshare,2021-07-14,1,1
ldcoolp-figshare,2021-07-15,20,2
ldcoolp-figshare,2021-07-21,15,1
ReBACH,2021-07-12,2,1
ReBACH,2021-07-13,3,1
redata-commons,2021-07-09,3,1
redata-commons,2021-07-10,2,1
redata-commons,2021-07-12,10,2
redata-commons,2021-07-14,14,2
redata-commons,2021-07-15,7,1
redata-commons,2021-07-19,1,1
redata-commons,2021-07-20,12,1
redata-docs,2021-07-12,58,1
redata-docs,2021-07-13,14,1
redata-docs,2021-07-14,9,1
redata-docs,2021-07-15,47,2
redata-docs,2021-07-19,3,2
redata-docs,2021-07-20,15,1
redata-docs,2021-07-21,70,2
redata-iac,2021-07-12,2,1
redata-iac,2021-07-13,2,1
redata-iac,2021-07-14,14,1
redata-iac,2021-07-15,9,1
redata-iac,2021-07-16,5,1
redata-iac,2021-07-19,74,2
ReM,2021-07-11,2,1
ReM,2021-07-15,3,2
ReQUIAM,2021-07-09,4,1
ReQUIAM,2021-07-12,17,1
ReQUIAM,2021-07-13,57,1
ReQUIAM,2021-07-14,108,2
ReQUIAM,2021-07-15,52,1
ReQUIAM,2021-07-16,8,1
ReQUIAM,2021-07-19,8,2
ReQUIAM,2021-07-20,225,1
ReQUIAM,2021-07-21,149,2
ReQUIAM_csv,2021-07-09,3,1
ReQUIAM_csv,2021-07-12,11,1
ReQUIAM_csv,2021-07-13,45,1
ReQUIAM_csv,2021-07-14,4,1
ReQUIAM_csv,2021-07-15,21,1
ReQUIAM_csv,2021-07-16,7,1
ReQUIAM_csv,2021-07-19,109,2
ReQUIAM_csv,2021-07-20,29,1
uptime,2021-07-09,6,1
uptime,2021-07-10,1,1
uptime,2021-07-13,15,1
