repository_name,date,clones,unique_visitors/cloners
data-service-landscape-scan,2021-05-24,1,1
data-service-landscape-scan,2021-05-26,1,1
data-service-landscape-scan,2021-05-28,2,2
data-service-landscape-scan,2021-05-31,1,1
data-service-landscape-scan,2021-06-02,1,1
data-service-landscape-scan,2021-06-03,1,1
data-viz-challenge,2021-05-25,1,1
data-viz-challenge,2021-06-03,2,2
data-viz-evaluations,2021-05-26,3,2
figstats,2021-06-03,1,1
github-stats,2021-05-22,1,1
github-stats,2021-05-23,7,6
github-stats,2021-05-24,7,7
github-stats,2021-05-25,5,5
github-stats,2021-05-26,6,6
github-stats,2021-05-27,4,4
github-stats,2021-05-28,8,7
github-stats,2021-05-29,8,7
github-stats,2021-05-30,7,7
github-stats,2021-05-31,7,7
github-stats,2021-06-01,5,5
github-stats,2021-06-02,5,5
github-stats,2021-06-03,7,7
github-stats,2021-06-04,7,6
LD-Cool-P,2021-05-25,30,8
LD-Cool-P,2021-05-27,1,1
LD-Cool-P,2021-06-02,30,8
LD-Cool-P,2021-06-03,27,7
ldcoolp-figshare,2021-05-24,46,27
ldcoolp-figshare,2021-05-26,2,2
ldcoolp-figshare,2021-06-03,31,15
redata-commons,2021-05-25,1,1
redata-commons,2021-06-01,1,1
redata-docs,2021-05-25,2,2
redata-docs,2021-05-26,22,13
redata-docs,2021-05-27,1,1
redata-docs,2021-06-03,1,1
redata-docs,2021-06-04,1,1
