repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,18,1
LD-Cool-P,Bing,61,2
LD-Cool-P,Google,7,2
LD-Cool-P,github.com,1,1
ldcoolp-figshare,Google,6,2
ReBACH,github.com,14,2
ReBACH,Google,5,1
redata-commons,redata.readthedocs.io,5,1
redata-commons,github.com,1,1
redata-docs,redata.readthedocs.io,1,1
ReQUIAM,github.com,22,2
ReQUIAM,redata.readthedocs.io,6,1
ReQUIAM,Google,4,4
ReQUIAM_csv,github.com,13,4
ReQUIAM_csv,redata.readthedocs.io,2,1
