repository_name,date,views,unique_visitors/cloners
data-service-landscape-scan,2021-11-10,1,1
data-viz-evaluations,2021-11-10,1,1
data-viz-evaluations,2021-11-11,1,1
figstats,2021-11-10,1,1
LD-Cool-P,2021-11-03,1,1
LD-Cool-P,2021-11-08,3,1
LD-Cool-P,2021-11-14,1,1
ldcoolp-figshare,2021-11-04,1,1
ldcoolp-figshare,2021-11-08,3,1
ldcoolp-figshare,2021-11-09,75,1
redata-iac,2021-10-31,1,1
redata-iac,2021-11-04,19,2
redata-iac,2021-11-05,19,3
redata-iac,2021-11-06,3,2
redata-iac,2021-11-08,4,1
redata-iac,2021-11-09,1,1
redata-meta-redirect,2021-11-04,2,1
ReM,2021-11-01,4,2
ReM,2021-11-02,3,1
ReM,2021-11-05,2,1
ReM,2021-11-09,7,2
ReM,2021-11-10,7,1
ReM,2021-11-11,2,1
ReQUIAM,2021-11-02,17,1
ReQUIAM,2021-11-04,7,1
ReQUIAM,2021-11-05,3,1
ReQUIAM,2021-11-06,21,1
ReQUIAM,2021-11-08,3,3
ReQUIAM,2021-11-09,2,1
ReQUIAM_csv,2021-11-01,1,1
ReQUIAM_csv,2021-11-02,78,3
ReQUIAM_csv,2021-11-03,28,3
ReQUIAM_csv,2021-11-04,2,2
ReQUIAM_csv,2021-11-05,4,1
ReQUIAM_csv,2021-11-08,14,2
ReQUIAM_csv,2021-11-09,6,1
ReQUIAM_csv,2021-11-10,6,1
ReQUIAM_csv,2021-11-12,1,1
ReQUIAM_csv,2021-11-13,1,1
uptime,2021-11-03,1,1
