repository_name,date,views,unique_visitors/cloners
data-service-landscape-scan,2021-06-28,3,1
data-viz-challenge,2021-06-23,1,1
data-viz-challenge,2021-06-28,20,2
data-viz-evaluations,2021-06-28,7,1
figstats,2021-06-20,1,1
figstats,2021-06-28,1,1
github-stats,2021-06-27,9,1
github-stats,2021-06-28,14,1
LD-Cool-P,2021-06-16,3,2
LD-Cool-P,2021-06-18,9,1
LD-Cool-P,2021-06-21,11,2
LD-Cool-P,2021-06-22,235,3
LD-Cool-P,2021-06-23,67,5
LD-Cool-P,2021-06-24,44,2
LD-Cool-P,2021-06-25,5,1
LD-Cool-P,2021-06-28,49,1
ldcoolp-figshare,2021-06-20,1,1
ldcoolp-figshare,2021-06-22,3,1
ldcoolp-figshare,2021-06-24,2,1
ReBACH,2021-06-28,2,2
redata-commons,2021-06-24,3,1
ReM,2021-06-17,2,1
ReM,2021-06-22,6,2
ReM,2021-06-24,1,1
ReM,2021-06-27,2,1
ReM,2021-06-28,15,1
ReQUIAM,2021-06-16,1,1
ReQUIAM,2021-06-21,9,1
ReQUIAM,2021-06-22,4,1
ReQUIAM,2021-06-28,6,1
ReQUIAM_csv,2021-06-15,2,1
ReQUIAM_csv,2021-06-22,1,1
ReQUIAM_csv,2021-06-24,5,1
ReQUIAM_csv,2021-06-28,8,1
uptime,2021-06-15,4,1
uptime,2021-06-24,1,1
uptime,2021-06-26,1,1
