repository_name,site,views,unique_visitors/cloners
github-stats,github.com,2,1
LD-Cool-P,github.com,48,4
LD-Cool-P,Google,23,9
LD-Cool-P,redata.readthedocs.io,3,2
LD-Cool-P,test-docs1.readthedocs.io,1,1
LD-Cool-P,DuckDuckGo,1,1
ldcoolp-figshare,Google,11,3
ldcoolp-figshare,redata.readthedocs.io,1,1
ReBACH,redata.readthedocs.io,6,2
ReBACH,test-docs1.readthedocs.io,1,1
ReBACH,github.com,1,1
redata-commons,redata.readthedocs.io,8,2
redata-commons,readthedocs.org,1,1
redata-commons,redata-commons.readthedocs.io,1,1
redata-commons,test-docs1.readthedocs.io,1,1
redata-commons,github.com,1,1
redata-docs,github.com,73,4
redata-docs,redata.readthedocs.io,15,1
redata-docs,readthedocs.org,2,2
redata-iac,github.com,10,3
redata-iac,redata.readthedocs.io,1,1
ReQUIAM,github.com,26,5
ReQUIAM,redata.readthedocs.io,10,4
ReQUIAM,requiam.readthedocs.io,2,1
ReQUIAM,test-docs1.readthedocs.io,2,1
ReQUIAM,Google,1,1
ReQUIAM_csv,github.com,8,3
ReQUIAM_csv,redata.readthedocs.io,1,1
ReQUIAM_csv,requiam-csv.readthedocs.io,1,1
UAL-RE,github.com,1,1
