repository_name,date,clones,unique_visitors/cloners
data-service-landscape-scan,2021-09-15,1,1
data-service-landscape-scan,2021-09-17,1,1
data-viz-challenge,2021-09-19,1,1
figstats,2021-09-10,1,1
figstats,2021-09-15,1,1
github-stats,2021-09-10,1,1
github-stats,2021-09-11,5,5
github-stats,2021-09-12,6,5
github-stats,2021-09-13,4,4
github-stats,2021-09-14,4,4
github-stats,2021-09-15,5,4
github-stats,2021-09-16,3,3
github-stats,2021-09-17,5,5
github-stats,2021-09-18,4,4
github-stats,2021-09-19,4,4
github-stats,2021-09-20,4,4
github-stats,2021-09-21,5,5
github-stats,2021-09-22,5,5
github-stats,2021-09-23,4,4
LD-Cool-P,2021-09-15,1,1
LD-Cool-P,2021-09-17,1,1
LD-Cool-P,2021-09-18,1,1
LD-Cool-P,2021-09-20,1,1
LD-Cool-P,2021-09-23,1,1
ldcoolp-figshare,2021-09-10,1,1
ldcoolp-figshare,2021-09-14,1,1
ldcoolp-figshare,2021-09-15,1,1
ldcoolp-figshare,2021-09-18,1,1
ReBACH,2021-09-22,1,1
redata-docs,2021-09-10,1,1
redata-iac,2021-09-22,1,1
ReM,2021-09-10,1,1
ReM,2021-09-13,1,1
ReM,2021-09-18,1,1
ReQUIAM,2021-09-23,12,8
uptime,2021-09-10,88,3
uptime,2021-09-11,116,5
uptime,2021-09-12,117,3
uptime,2021-09-13,113,4
uptime,2021-09-14,114,4
uptime,2021-09-15,113,4
uptime,2021-09-16,116,6
uptime,2021-09-17,115,5
uptime,2021-09-18,116,5
uptime,2021-09-19,118,5
uptime,2021-09-20,113,4
uptime,2021-09-21,113,4
uptime,2021-09-22,112,4
uptime,2021-09-23,113,5
uptime,2021-09-24,4,1
