repository_name,date,views,unique_visitors/cloners
ReBACH,2022-06-10,7,1
redata-commons,2022-06-03,3,1
redata-commons,2022-06-05,1,1
redata-commons,2022-06-10,6,1
redata-commons,2022-06-13,1,1
redata-commons,2022-06-16,3,1
redata-docs,2022-06-05,3,1
redata-docs,2022-06-14,37,2
redata-docs,2022-06-15,8,1
redata-docs,2022-06-16,1,1
ReQUIAM,2022-06-02,3,1
ReQUIAM,2022-06-04,1,1
ReQUIAM,2022-06-13,1,1
uptime,2022-06-09,2,1
uptime,2022-06-11,4,1
uptime,2022-06-14,14,1
