repository_name,date,views,unique_visitors/cloners
LD-Cool-P,2022-07-04,2,1
LD-Cool-P,2022-07-06,18,3
LD-Cool-P,2022-07-07,6,1
LD-Cool-P,2022-07-11,28,1
LD-Cool-P,2022-07-12,1,1
LD-Cool-P,2022-07-14,2,2
ldcoolp-figshare,2022-07-07,5,1
ldcoolp-figshare,2022-07-08,1,1
ldcoolp-figshare,2022-07-11,29,1
ldcoolp-figshare,2022-07-12,1,1
ldcoolp-figshare,2022-07-14,3,1
ReBACH,2022-07-08,3,1
ReBACH,2022-07-11,3,1
ReBACH,2022-07-14,7,3
redata-commons,2022-07-05,64,1
redata-commons,2022-07-06,138,1
redata-commons,2022-07-07,87,1
redata-commons,2022-07-08,92,1
redata-commons,2022-07-11,35,1
redata-commons,2022-07-12,11,1
redata-commons,2022-07-13,13,1
redata-commons,2022-07-14,5,1
redata-commons,2022-07-15,8,1
redata-commons,2022-07-18,2,1
redata-docs,2022-07-05,4,2
redata-docs,2022-07-06,3,1
redata-docs,2022-07-07,1,1
redata-docs,2022-07-11,9,1
redata-docs,2022-07-12,3,1
redata-docs,2022-07-13,1,1
redata-docs,2022-07-15,6,1
redata-iac,2022-07-06,1,1
ReQUIAM,2022-07-05,36,1
ReQUIAM,2022-07-06,92,1
ReQUIAM,2022-07-07,18,1
ReQUIAM,2022-07-08,71,1
ReQUIAM,2022-07-09,11,2
ReQUIAM,2022-07-10,1,1
ReQUIAM,2022-07-11,44,1
ReQUIAM,2022-07-12,188,1
ReQUIAM,2022-07-13,52,1
ReQUIAM,2022-07-14,3,1
ReQUIAM,2022-07-15,6,1
ReQUIAM,2022-07-18,5,1
ReQUIAM_csv,2022-07-13,100,1
ReQUIAM_csv,2022-07-14,140,1
ReQUIAM_csv,2022-07-15,24,1
ReQUIAM_csv,2022-07-18,7,1
