repository_name,date,views,unique_visitors/cloners
figstats,2022-02-28,1,1
github-stats,2022-03-06,6,1
LD-Cool-P,2022-02-21,15,2
LD-Cool-P,2022-02-23,1,1
LD-Cool-P,2022-02-25,7,1
LD-Cool-P,2022-03-03,5,2
LD-Cool-P,2022-03-04,1,1
LD-Cool-P,2022-03-05,1,1
ldcoolp-figshare,2022-02-22,1,1
ReBACH,2022-02-21,1,1
redata-commons,2022-02-21,4,1
redata-docs,2022-03-05,2,1
ReM,2022-02-21,1,1
ReM,2022-02-22,2,2
ReM,2022-02-24,5,2
ReM,2022-02-25,4,2
ReM,2022-02-28,12,3
ReM,2022-03-02,2,1
ReM,2022-03-04,1,1
ReM,2022-03-07,1,1
ReQUIAM_csv,2022-02-24,2,1
UAL-RE,2022-03-06,2,1
