repository_name,date,views,unique_visitors/cloners
data-service-landscape-scan,2022-09-07,3,1
LD-Cool-P,2022-09-06,8,2
LD-Cool-P,2022-09-14,9,2
ldcoolp-figshare,2022-09-05,1,1
ldcoolp-figshare,2022-09-17,1,1
ReBACH,2022-09-06,1,1
ReBACH,2022-09-08,10,1
ReBACH,2022-09-12,25,3
ReBACH,2022-09-13,13,3
ReBACH,2022-09-15,1,1
ReBACH,2022-09-16,8,2
ReBACH,2022-09-19,1,1
redata-commons,2022-09-06,3,2
redata-docs,2022-09-06,4,1
redata-docs,2022-09-12,5,1
redata-docs,2022-09-16,1,1
ReQUIAM,2022-09-06,3,1
ReQUIAM,2022-09-12,7,1
ReQUIAM,2022-09-16,1,1
