repository_name,site,views,unique_visitors/cloners
data-service-landscape-scan,github.com,4,2
data-viz-challenge,github.com,1,1
figstats,github.com,6,2
github-stats,github.com,7,1
LD-Cool-P,github.com,14,3
LD-Cool-P,Google,5,4
ldcoolp-figshare,github.com,4,3
ldcoolp-figshare,DuckDuckGo,2,1
ldcoolp-figshare,ldcoolp-figshare.readthedocs.io,1,1
redata-commons,redata-commons.readthedocs.io,4,2
redata-commons,Google,4,1
redata-commons,github.com,2,2
redata-commons,pypi.org,2,1
redata-docs,github.com,5,2
ReM,gist.github.com,4,2
ReQUIAM,github.com,4,2
ReQUIAM_csv,github.com,1,1
uptime,github.com,2,1
