repository_name,date,views,unique_visitors/cloners
data-viz-challenge,2022-01-09,1,1
LD-Cool-P,2022-01-11,9,2
redata-commons,2022-01-10,3,1
redata-iac,2022-01-15,2,1
ReM,2022-01-07,1,1
ReM,2022-01-09,2,1
ReM,2022-01-10,5,2
ReM,2022-01-11,1,1
ReM,2022-01-12,5,2
ReM,2022-01-13,1,1
ReM,2022-01-14,3,1
ReM,2022-01-17,27,4
ReM,2022-01-18,16,1
ReM,2022-01-19,1,1
ReM,2022-01-20,1,1
ReQUIAM,2022-01-10,1,1
ReQUIAM,2022-01-11,2,1
ReQUIAM,2022-01-15,13,1
ReQUIAM_csv,2022-01-13,1,1
ReQUIAM_csv,2022-01-15,5,1
uptime,2022-01-10,3,2
uptime,2022-01-12,1,1
