repository_name,date,clones,unique_visitors/cloners
data-service-landscape-scan,2022-10-21,1,1
data-service-landscape-scan,2022-10-22,1,1
data-viz-challenge,2022-10-16,1,1
data-viz-challenge,2022-10-21,2,2
data-viz-evaluations,2022-10-22,1,1
figstats,2022-10-19,1,1
figstats,2022-10-21,1,1
github-stats,2022-10-11,1,1
github-stats,2022-10-12,6,4
github-stats,2022-10-13,7,5
github-stats,2022-10-14,7,5
github-stats,2022-10-15,6,4
github-stats,2022-10-16,6,4
github-stats,2022-10-17,6,4
github-stats,2022-10-18,6,4
github-stats,2022-10-19,8,5
github-stats,2022-10-20,7,5
github-stats,2022-10-21,8,6
github-stats,2022-10-22,6,4
github-stats,2022-10-23,6,4
github-stats,2022-10-24,6,4
LD-Cool-P,2022-10-21,2,2
LD-Cool-P,2022-10-22,1,1
ldcoolp-figshare,2022-10-19,1,1
ldcoolp-figshare,2022-10-21,1,1
ldcoolp-figshare,2022-10-24,1,1
ReBACH,2022-10-11,11,4
ReBACH,2022-10-14,1,1
ReBACH,2022-10-18,1,1
ReBACH,2022-10-20,2,1
ReBACH,2022-10-21,1,1
ReBACH,2022-10-22,1,1
redata-commons,2022-10-21,2,2
redata-commons,2022-10-22,1,1
redata-commons,2022-10-25,1,1
redata-docs,2022-10-21,2,2
redata-iac,2022-10-21,1,1
redata-iac,2022-10-24,1,1
redata-landing-page,2022-10-21,2,2
ReQUIAM,2022-10-21,2,2
ReQUIAM,2022-10-25,1,1
ReQUIAM_csv,2022-10-21,1,1
ReQUIAM_csv,2022-10-22,1,1
slacking,2022-10-21,2,2
UAL-RE,2022-10-21,1,1
